,id,date,code,name,status,holding_nav,holding_volume,holding_money,holding_gain,history_gain,total_cash_dividend,total_fee,account,category1,category2,category3,categoryId
0,1.0,2019-12-02,000478,建信中证500指数增强A,买入,1.9252,4157.52,8004.0,0.0,0.0,0.0,11.99,且慢 150 份,A 股,中小盘股,中证500,121
1,2.0,2019-08-26,001052,华夏中证500ETF联接A,买入,0.5423,7379.54,4002.0,0.0,0.0,0.0,4.8,且慢 150 份,A 股,中小盘股,中证500,121
2,5.0,2020-03-02,100032,富国中证红利指数增强A,分额,0.9822,4074.72,4002.0,0.0,0.0,0.0,6.0,且慢 150 份,A 股,红利价值,中证红利,131
3,6.0,2019-08-28,000968,广发养老指数A,买入,0.9444,4943.96,4669.0,0.0,0.0,0.0,5.6,且慢 150 份,A 股,行业股,养老产业,141
4,7.0,2019-12-03,001180,广发医药卫生联接A,初始化,0.8242,809.28,667.0,0.0,0.0,0.0,0.8,且慢 150 份,A 股,行业股,全指医药,142
5,8.0,2019-08-23,001064,广发中证环保ETF联接A,初始化,0.5489,9722.0,5336.0,0.0,0.0,0.0,6.4,且慢 150 份,A 股,行业股,中证环保,143
6,9.0,2019-08-23,004752,广发中证传媒ETF联接A,初始化,0.7329,4550.55,3335.0,0.0,0.0,0.0,4.0,且慢 150 份,A 股,行业股,中证传媒,144
7,10.0,2019-11-20,502010,易方达证券公司分级,买入,0.9853,473.85,466.9,0.0,0.0,0.0,0.45,且慢 150 份,A 股,行业股,证券公司,145
8,11.0,2020-02-26,001469,广发中证全指金融地产联接A,初始化,1.0907,611.53,667.0,0.0,0.0,0.0,0.8,且慢 150 份,A 股,行业股,金融地产,147
9,12.0,2020-03-19,000071,华夏恒生ETF联接A,买入,1.3485,1483.88,2001.0,0.0,0.0,0.0,2.4,且慢 150 份,海外新兴,香港,恒生,211
10,13.0,2019-08-26,164906,交银中证海外中国互联网指数,初始化,1.1564,576.8,667.0,0.0,0.0,0.0,0.8,且慢 150 份,海外新兴,海外互联,海外互联网,221
11,14.0,2020-03-19,050025,博时标普500ETF联接A,初始化,1.9457,342.8,667.0,0.0,0.0,0.0,0.8,且慢 150 份,海外成熟,美国,标普500,313
12,15.0,2020-03-18,000614,华安德国30(DAX)联接,买入,0.9648,4147.87,4002.0,0.0,0.0,0.0,4.8,且慢 150 份,海外成熟,德国,德国30,321
13,16.0,2019-08-27,162411,华宝标普石油指数A,买入,0.3776,5299.96,2001.0,0.0,0.0,0.0,3.0,且慢 150 份,商品,商品,原油,613
14,17.0,2020-03-09,501018,南方原油A,初始化,0.7171,930.19,667.0,0.0,0.0,0.0,0.8,且慢 150 份,商品,商品,原油,613
15,18.0,2020-03-11,160416,华安标普石油指数,初始化,0.6498,1026.5,667.0,0.0,0.0,0.0,0.8,且慢 150 份,商品,商品,原油,613
16,1.0,2019-05-15,001051,华夏上证50ETF联接A,初始化,0.9441,1059.17,1000.0,0.0,0.0,0.0,1.2,且慢 S 定投,A 股,大盘股,上证50,111
17,2.0,2020-02-04,000478,建信中证500指数增强A,买入,1.9178,1564.33,3000.0,0.0,0.0,0.0,4.5,且慢 S 定投,A 股,中小盘股,中证500,121
18,3.0,2019-11-01,001052,华夏中证500ETF联接A,初始化,0.5517,1812.7,1000.0,0.0,0.0,0.0,1.2,且慢 S 定投,A 股,中小盘股,中证500,121
19,4.0,2020-03-02,100032,富国中证红利指数增强A,分额,0.973,3083.26,3000.0,0.0,0.0,0.0,4.5,且慢 S 定投,A 股,红利价值,中证红利,131
20,5.0,2020-03-09,004752,广发中证传媒ETF联接A,卖出,0.815,822.11,649.91,20.084,0.0,0.0,2.95,且慢 S 定投,A 股,行业股,中证传媒,144
21,6.0,2020-02-26,001469,广发中证全指金融地产联接A,初始化,1.0907,916.83,1000.0,0.0,0.0,0.0,1.2,且慢 S 定投,A 股,行业股,金融地产,147
22,7.0,2020-03-13,000071,华夏恒生ETF联接A,买入,1.4046,1423.86,2000.0,0.0,0.0,0.0,2.4,且慢 S 定投,海外新兴,香港,恒生,211
23,8.0,2019-08-15,164906,交银中证海外中国互联网指数,初始化,1.1113,899.82,1000.0,0.0,0.0,0.0,1.2,且慢 S 定投,海外新兴,海外互联,海外互联网,221
24,9.0,2020-03-10,050025,博时标普500ETF联接A,初始化,2.2822,438.17,1000.0,0.0,0.0,0.0,1.2,且慢 S 定投,海外成熟,美国,标普500,313
25,10.0,2020-03-13,000614,华安德国30(DAX)联接,买入,0.9766,2047.94,2000.0,0.0,0.0,0.0,2.4,且慢 S 定投,海外成熟,德国,德国30,321
26,11.0,2019-12-02,110027,易方达安心债券A,初始化,1.6793,595.47,1000.0,0.0,0.0,0.0,0.8,且慢 S 定投,债券,国内债券,可转债,512
27,12.0,2020-03-13,000216,华安黄金易ETF联接A,卖出,1.0903,917.23,806.95,193.079,0.0,0.0,2.39,且慢 S 定投,商品,商品,黄金,611
28,13.0,2020-02-04,162411,华宝标普石油指数A,买入,0.3879,7734.05,3000.0,0.0,0.0,0.0,4.5,且慢 S 定投,商品,商品,原油,613
29,14.0,2020-03-09,501018,南方原油A,初始化,0.7171,1394.58,1000.0,0.0,0.0,0.0,1.2,且慢 S 定投,商品,商品,原油,613
30,1.0,2020-03-19,515180,100红利,买入,0.865,3000.0,2595.61,122.4,0.0,0.0,0.71,华宝证券,A 股,红利价值,中证红利,131
31,2.0,2020-03-19,159920,恒生ETF,买入,1.302,9600.0,12495.05,0.0,0.0,0.0,1.26,华宝证券,海外新兴,香港,恒生,211
32,3.0,2020-03-25,513520,日经ETF,卖出,0.832,12000.0,9983.5,98.6,0.0,0.0,1.5,华宝证券,海外成熟,日本,日经225,331
33,4.0,2020-03-16,160416,石油基金,初始化,0.608,13896.0,8448.77,0.0,0.0,0.0,0.0,华宝证券,商品,商品,原油,613
34,1.0,2019-12-04,510050,50ETF,分现,2.291,2700.0,6185.58,259.2,50.0,259.2,1.29,华泰证券,A 股,大盘股,上证50,111
35,2.0,2019-12-13,510300,300ETF,分现,3.385,9100.0,30804.57,1000.8,15.75,1000.8,6.36,华泰证券,A 股,大盘股,沪深300,113
36,4.0,2020-02-26,510500,500ETF,卖出,5.581,37600.0,209841.66,858.0,3959.37,0.0,48.19,华泰证券,A 股,中小盘股,中证500,121
37,7.0,2020-03-25,159938,广发医药,卖出,1.167,9600.0,11206.74,993.6,0.0,0.0,5.08,华泰证券,A 股,行业股,全指医药,142
38,8.0,2018-06-28,512580,环保ETF,买入,0.877,33800.0,29656.04,0.0,0.0,0.0,5.93,华泰证券,A 股,行业股,中证环保,143
39,9.0,2018-08-20,512980,传媒ETF,买入,0.869,34100.0,29621.13,0.0,0.0,0.0,5.93,华泰证券,A 股,行业股,中证传媒,144
