,id,date,code,name,status,holding_nav,holding_volume,holding_money,holding_gain,history_gain,total_cash_dividend,total_fee,account,category1,category2,category3,categoryId
0,,2020-03-09,110026,易方达创业板ETF联接A,清仓,0.0,0.0,0.0,0.0,180.23,0.0,5.06,且慢 150 份,A 股,中小盘股,创业板,124
1,,2020-03-12,003765,广发创业板ETF联接A,清仓,0.0,0.0,0.0,0.0,155.794,0.0,4.93,且慢 150 份,A 股,中小盘股,创业板,124
2,,2020-03-12,162411,华宝油气,清仓,0.0,0.0,0.0,0.0,-4331.0,0.0,2.12,华宝证券,商品,商品,原油,613
3,,2019-11-05,159902,中 小 板,清仓,0.0,0.0,0.0,0.0,190.05,0.0,1.46,华泰证券,A 股,大盘股,中小板,117
4,,2019-07-22,512100,1000ETF,清仓,0.0,0.0,0.0,0.0,-5248.8,0.0,17.37,华泰证券,A 股,中小盘股,中证1000,123
5,,2020-03-10,159915,创业板,清仓,0.0,0.0,0.0,0.0,9270.98,0.0,6.39,华泰证券,A 股,中小盘股,创业板,124
6,,2016-07-12,601939,建设银行,清仓,0.0,0.0,274.0,0.0,-483.0,0.0,274.0,华泰证券,A 股,股票,股票,151
7,,2015-11-11,000836,鑫茂科技,清仓,0.0,0.0,0.0,0.0,7574.02,0.0,218.16,华泰证券,A 股,股票,股票,151
8,,2015-10-27,600879,航天电子,清仓,0.0,0.0,0.0,0.0,454.0,0.0,16.11,华泰证券,A 股,股票,股票,151
9,,2015-11-09,000017,深中华A,清仓,0.0,0.0,0.0,0.0,313.47,0.0,19.53,华泰证券,A 股,股票,股票,151
10,,2016-01-08,600857,宁波中百,清仓,0.0,0.0,0.0,0.0,-13017.0,0.0,336.44,华泰证券,A 股,股票,股票,151
11,,2016-01-08,600861,北京城乡,清仓,0.0,0.0,0.0,0.0,-1311.0,0.0,14.67,华泰证券,A 股,股票,股票,151
12,,2016-01-08,000428,华天酒店,清仓,0.0,0.0,0.0,0.0,-1424.0,0.0,16.78,华泰证券,A 股,股票,股票,151
13,,2017-11-24,159920,恒生ETF,清仓,0.0,0.0,0.0,0.0,11910.92,0.0,28.28,华泰证券,海外新兴,香港,恒生,211
14,,2017-05-25,510900,H股ETF,清仓,0.0,0.0,0.0,0.0,29201.71,0.0,87.56,华泰证券,海外新兴,香港,国企,212
15,,2016-11-16,511010,国债ETF,清仓,0.0,0.0,0.0,0.0,2262.8,0.0,0.0,华泰证券,债券,国内债券,纯债,511
16,,2018-05-21,162411,华宝油气,清仓,0.0,0.0,0.0,0.0,-13486.5,0.0,229.27,华泰证券,商品,商品,原油,613
17,,2016-09-29,501018,南方原油,清仓,0.0,0.0,0.0,0.0,204.09,0.0,2.18,华泰证券,商品,商品,原油,613
18,,2020-02-18,002903,广发中证500ETF联接C,清仓,0.0,0.0,0.0,0.0,670.907,0.0,0.0,天天基金,A 股,中小盘股,中证500,121
19,,2020-01-06,003647,创金合信中证1000指数增强C,清仓,0.0,0.0,0.0,0.0,231.281,0.0,0.0,天天基金,A 股,中小盘股,中证1000,123
20,,2019-12-02,110026,易方达创业板ETF联接A,清仓,0.0,0.0,0.0,0.0,1866.027,0.0,28.39,天天基金,A 股,中小盘股,创业板,124
21,,2020-03-09,004752,广发中证传媒ETF联接A,清仓,0.0,0.0,0.0,0.0,355.558,0.0,41.62,天天基金,A 股,行业股,中证传媒,144
22,,2016-05-27,161725,招商中证白酒指数分级,清仓,0.0,0.0,0.0,0.0,-22.03,0.0,2.89,天天基金,A 股,行业股,全指消费,148
23,,2019-05-15,110022,易方达消费行业,清仓,0.0,0.0,0.0,0.0,3540.322,0.0,59.54,天天基金,A 股,行业股,全指消费,148
24,,2016-05-24,000179,广发美国房地产指数,清仓,0.0,0.0,0.0,0.0,-6.674,0.0,3.12,天天基金,海外成熟,美国,房地产,314
25,,2018-11-30,003376,广发中债7-10年国开债指数A,清仓,0.0,0.0,0.0,0.0,1726.382,0.0,16.33,天天基金,债券,国内债券,纯债,511
26,,2020-03-19,519977,长信可转债债券A,清仓,0.0,0.0,0.0,0.0,1215.554,0.0,43.39,天天基金,债券,国内债券,可转债,512
27,,2020-03-11,001061,华夏海外收益债券A,清仓,0.0,0.0,0.0,0.0,4085.25,0.0,20.46,天天基金,债券,海外债券,美元债,521
28,,2020-01-02,002903,广发中证500ETF联接C,清仓,0.0,0.0,0.0,0.0,32.136,0.0,0.0,天天基金母,A 股,中小盘股,中证500,121
29,,2019-12-02,003765,广发创业板ETF联接A,清仓,0.0,0.0,0.0,0.0,61.659,0.0,1.87,天天基金母,A 股,中小盘股,创业板,124
30,,2020-03-12,110026,易方达创业板ETF联接A,清仓,0.0,0.0,0.0,0.0,1564.586,0.0,8.37,天天基金母,A 股,中小盘股,创业板,124
31,,2019-05-15,110022,易方达消费行业,清仓,0.0,0.0,0.0,0.0,221.273,0.0,3.72,天天基金母,A 股,行业股,全指消费,148
32,,2019-07-18,001112,东方红中国优势混合,清仓,0.0,0.0,0.0,0.0,-65.781,0.0,88.34,天天基金母,混合型,股债混合,偏股,411
33,,2020-03-19,519977,长信可转债债券A,清仓,0.0,0.0,0.0,0.0,75.974,0.0,2.71,天天基金母,债券,国内债券,可转债,512
34,,2020-02-27,519700,交银主题优选,清仓,0.0,0.0,0.0,0.0,2984.348,0.0,125.88,稳稳的幸福父,混合型,股债混合,偏股,411
35,,2020-02-27,519738,交银周期回报灵活配置混合A,清仓,0.0,0.0,0.0,0.0,653.663,0.0,406.72,稳稳的幸福父,混合型,股债混合,偏债,411
36,,2020-02-27,519752,交银新回报灵活配置混合A,清仓,0.0,0.0,0.0,0.0,1625.108,0.0,492.43,稳稳的幸福父,混合型,股债混合,偏债,412
37,,2020-02-27,519755,交银多策略回报灵活配置混合A,清仓,0.0,0.0,0.0,0.0,2592.158,0.0,660.37,稳稳的幸福父,混合型,股债混合,偏债,412
38,,2020-02-27,006793,交银稳鑫短债债券A,清仓,0.0,0.0,0.0,0.0,936.898,0.0,469.51,稳稳的幸福父,债券,国内债券,可转债,512
39,,2020-02-27,519718,交银纯债A/B,清仓,0.0,0.0,0.0,0.0,3625.398,0.0,268.52,稳稳的幸福父,债券,国内债券,可转债,512
40,,2020-02-27,519723,交银双轮动A/B,清仓,0.0,0.0,0.0,0.0,2011.667,0.0,259.67,稳稳的幸福父,债券,国内债券,可转债,512
41,,2020-01-02,519776,交银裕盈纯债债券A,清仓,0.0,0.0,0.0,0.0,548.252,0.0,121.28,稳稳的幸福父,债券,国内债券,可转债,512
42,,2020-02-27,164902,交银信用添利债券(LOF),清仓,0.0,0.0,0.0,0.0,1782.457,0.0,275.93,稳稳的幸福父,债券,国内债券,可转债,512
43,,2020-02-04,501029,华宝红利基金,清仓,0.0,0.0,0.0,0.0,-35.501,0.0,1.81,螺丝钉,A 股,红利价值,标普红利,132
44,,2020-02-11,001550,天弘中证医药100A,清仓,0.0,0.0,0.0,0.0,112.463,0.0,0.6,螺丝钉,A 股,行业股,全指医药,142
45,,2019-05-14,002086,大成景安短融债券E,清仓,0.0,0.0,0.0,0.0,0.918,0.0,0.0,螺丝钉,债券,国内债券,纯债,511
46,,2020-02-04,501029,华宝红利基金,清仓,0.0,0.0,0.0,0.0,-14.607,0.0,0.74,螺丝钉母,A 股,红利价值,标普红利,132
47,,2020-02-11,001550,天弘中证医药100A,清仓,0.0,0.0,0.0,0.0,44.99,0.0,0.23,螺丝钉母,A 股,行业股,全指医药,142
48,,2019-05-14,002086,大成景安短融债券E,清仓,0.0,0.0,0.0,0.0,0.452,0.0,0.0,螺丝钉母,债券,国内债券,纯债,511
49,,2020-02-04,501029,华宝红利基金,清仓,0.0,0.0,0.0,0.0,-13.903,0.0,0.7,螺丝钉父,A 股,红利价值,标普红利,132
50,,2020-02-11,001550,天弘中证医药100A,清仓,0.0,0.0,0.0,0.0,44.99,0.0,0.23,螺丝钉父,A 股,行业股,全指医药,142
51,,2019-05-14,002086,大成景安短融债券E,清仓,0.0,0.0,0.0,0.0,0.272,0.0,0.0,螺丝钉父,债券,国内债券,纯债,511
52,,2020-02-24,002086,大成景安短融债券E,清仓,0.0,0.0,0.0,0.0,360.926,0.0,0.0,钉钉宝90,债券,国内债券,纯债,511
53,,2020-02-24,006320,易方达安瑞短债C,清仓,0.0,0.0,0.0,208.44,309.934,208.44,0.0,钉钉宝90,债券,国内债券,纯债,511
54,,2020-02-24,519153,新华纯债C,清仓,0.0,0.0,0.0,0.0,372.022,0.0,0.0,钉钉宝90,债券,国内债券,纯债,511
55,,2020-03-03,519153,新华纯债C,清仓,0.0,0.0,0.0,0.0,10.083,0.0,3.61,钉钉宝90母,债券,国内债券,纯债,511
56,,2020-03-03,006320,易方达安瑞短债C,清仓,0.0,0.0,0.0,0.0,11.858,0.0,0.36,钉钉宝90母,债券,国内债券,纯债,511
57,,2020-03-03,002086,大成景安短融债券E,清仓,0.0,0.0,0.0,0.0,13.468,0.0,0.0,钉钉宝90母,债券,国内债券,纯债,511
58,,2020-02-03,519153,新华纯债C,清仓,0.0,0.0,0.0,0.0,14.795,0.0,0.0,钉钉宝90父,债券,国内债券,纯债,511
59,,2020-02-03,006320,易方达安瑞短债C,清仓,0.0,0.0,0.0,0.0,13.148,0.0,0.0,钉钉宝90父,债券,国内债券,纯债,511
60,,2020-02-03,002086,大成景安短融债券E,清仓,0.0,0.0,0.0,0.0,16.369,0.0,0.0,钉钉宝90父,债券,国内债券,纯债,511
