,id,date,code,name,status,holding_nav,holding_volume,holding_money,holding_gain,history_gain,total_cash_dividend,total_fee,account,category1,category2,category3,categoryId
0,,2019-05-15,001051,华夏上证50ETF联接A,初始化,0.9441,1059.17,1000.0,0.0,0.0,0.0,1.2,,A 股,大盘股,上证50,111
1,,2020-02-04,000478,建信中证500指数增强A,买入,1.9178,1564.33,3000.0,0.0,0.0,0.0,4.5,,A 股,中小盘股,中证500,121
2,,2019-11-01,001052,华夏中证500ETF联接A,初始化,0.5517,1812.7,1000.0,0.0,0.0,0.0,1.2,,A 股,中小盘股,中证500,121
3,,2020-03-02,100032,富国中证红利指数增强A,分额,0.973,3083.26,3000.0,0.0,0.0,0.0,4.5,,A 股,红利价值,中证红利,131
4,,2020-03-09,004752,广发中证传媒ETF联接A,卖出,0.815,822.11,649.91,20.084,0.0,0.0,2.95,,A 股,行业股,中证传媒,144
5,,2020-04-30,001469,广发中证全指金融地产联接A,买入,1.0494,2858.89,3000.0,0.0,0.0,0.0,3.6,,A 股,行业股,金融地产,147
6,,2020-03-13,000071,华夏恒生ETF联接A,买入,1.4046,1423.86,2000.0,0.0,0.0,0.0,2.4,,海外新兴,香港,恒生,211
7,,2019-08-15,164906,交银中证海外中国互联网指数,初始化,1.1113,899.82,1000.0,0.0,0.0,0.0,1.2,,海外新兴,海外互联,海外互联网,221
8,,2020-03-10,050025,博时标普500ETF联接A,初始化,2.2822,438.17,1000.0,0.0,0.0,0.0,1.2,,海外成熟,美国,标普500,313
9,,2020-03-13,000614,华安德国30(DAX)联接,买入,0.9766,2047.94,2000.0,0.0,0.0,0.0,2.4,,海外成熟,德国,德国30,321
10,,2019-12-02,110027,易方达安心债券A,初始化,1.6793,595.47,1000.0,0.0,0.0,0.0,0.8,,债券,国内债券,可转债,512
11,,2020-03-13,000216,华安黄金易ETF联接A,卖出,1.0903,917.23,806.95,193.079,0.0,0.0,2.39,,商品,商品,黄金,611
12,,2020-02-04,162411,华宝标普石油指数A,买入,0.3879,7734.05,3000.0,0.0,0.0,0.0,4.5,,商品,商品,原油,613
13,,2020-04-24,501018,南方原油A,清仓,0.0,0.0,0.0,0.0,-1.255,0.0,1.2,,商品,商品,原油,613
