,id,date,code,name,status,holding_nav,holding_volume,holding_money,holding_gain,history_gain,total_cash_dividend,total_fee,account,category1,category2,category3,categoryId
0,,2019-09-18,100038,富国沪深300指数增强,分额,1.3129,14624.61,19200.0,0.0,0.0,0.0,23.01,,A 股,大盘股,沪深300,113
1,,2019-09-20,161017,富国中证500,分额,1.3432,9529.81,12800.0,0.0,0.0,0.0,19.18,,A 股,中小盘股,中证500,121
2,,2019-12-02,000478,建信中证500指数增强A,初始化,1.9396,3299.64,6400.0,0.0,0.0,0.0,9.59,,A 股,中小盘股,中证500,121
3,,2020-02-18,002903,广发中证500ETF联接C,清仓,0.0,0.0,0.0,0.0,670.907,0.0,0.0,,A 股,中小盘股,中证500,121
4,,2020-01-06,003647,创金合信中证1000指数增强C,清仓,0.0,0.0,0.0,0.0,231.281,0.0,0.0,,A 股,中小盘股,中证1000,123
5,,2019-12-02,110026,易方达创业板ETF联接A,清仓,0.0,0.0,0.0,0.0,1866.027,0.0,28.39,,A 股,中小盘股,创业板,124
6,,2020-03-02,100032,富国中证红利指数增强,分额,0.9168,72337.79,66320.0,0.0,0.0,0.0,99.36,,A 股,红利价值,中证红利,131
7,,2018-12-27,000968,广发养老指数A,买入,0.9167,63490.0,58200.0,0.0,0.0,0.0,69.76,,A 股,行业股,养老产业,141
8,,2018-10-15,001180,广发医药卫生联接A,买入,0.7451,41014.88,30560.0,0.0,0.0,0.0,36.62,,A 股,行业股,全指医药,142
9,,2018-10-15,001064,广发中证环保ETF联接A,初始化,0.4775,13403.92,6400.0,0.0,0.0,0.0,7.67,,A 股,行业股,中证环保,143
10,,2020-03-09,004752,广发中证传媒ETF联接A,清仓,0.0,0.0,0.0,0.0,355.558,0.0,41.62,,A 股,行业股,中证传媒,144
11,,2020-02-26,001469,广发中证全指金融地产联接A,买入,0.947,27031.68,25600.0,0.0,0.0,0.0,30.68,,A 股,行业股,金融地产,147
12,,2016-05-27,161725,招商中证白酒指数分级,清仓,0.0,0.0,0.0,0.0,-22.03,0.0,2.89,,A 股,行业股,全指消费,148
13,,2019-05-15,110022,易方达消费行业,清仓,0.0,0.0,0.0,0.0,3540.322,0.0,59.54,,A 股,行业股,全指消费,148
14,,2020-03-19,000071,华夏恒生ETF联接A,买入,1.3653,16626.05,22700.0,0.0,0.0,0.0,27.2,,海外新兴,香港,恒生,211
15,,2019-05-30,164906,交银中证海外中国互联网指数,买入,1.1443,16778.47,19200.0,0.0,0.0,0.0,23.01,,海外新兴,海外互联,海外互联网,221
16,,2020-03-19,050025,博时标普500ETF联接A,初始化,1.9457,3289.25,6400.0,0.0,0.0,0.0,7.67,,海外成熟,美国,标普500,313
17,,2016-05-24,000179,广发美国房地产指数,清仓,0.0,0.0,0.0,0.0,-6.674,0.0,3.12,,海外成熟,美国,房地产,314
18,,2020-03-18,000614,华安德国30(DAX)联接,买入,1.0042,41627.14,41800.0,0.0,0.0,0.0,50.1,,海外成熟,德国,德国30,321
19,,2018-11-30,003376,广发中债7-10年国开债指数A,清仓,0.0,0.0,0.0,0.0,1726.382,0.0,16.33,,债券,国内债券,纯债,511
20,,2019-06-24,340001,兴全可转债混合,分额,0.9886,32370.29,32000.0,0.0,0.0,0.0,31.95,,债券,国内债券,可转债,512
21,,2019-07-31,110027,易方达安心回报债券A,买入,1.5931,20086.63,32000.0,0.0,0.0,0.0,25.6,,债券,国内债券,可转债,512
22,,2020-03-19,519977,长信可转债债券A,清仓,0.0,0.0,0.0,0.0,1215.554,0.0,43.39,,债券,国内债券,可转债,512
23,,2020-03-11,001061,华夏海外收益债券A,清仓,0.0,0.0,0.0,0.0,4085.25,0.0,20.46,,债券,海外债券,美元债,521
24,,2019-03-28,162411,华宝标普油气上游股票,买入,0.5152,37267.45,19200.0,0.0,0.0,0.0,28.77,,商品,商品,原油,613
25,,2020-03-09,501018,南方原油A,初始化,0.7171,8925.34,6400.0,0.0,0.0,0.0,7.67,,商品,商品,原油,613
