,id,date,code,name,status,holding_nav,holding_volume,holding_money,holding_gain,history_gain,total_cash_dividend,total_fee,account,category1,category2,category3,categoryId
0,,2020-05-26,110003,易方达上证50指数A,买入,1.7538,420.68,737.79,0.0,0.0,0.0,1.1,,A 股,大盘股,上证50,111
1,,2019-04-09,501050,华夏上证50AH优选指数,买入,1.2636,247.91,313.26,0.0,0.0,0.0,0.47,,A 股,大盘股,50AH,112
2,,2020-05-26,519671,银河沪深300价值指数,买入,1.4114,4451.65,6283.22,0.0,0.0,0.0,7.52,,A 股,大盘股,300价值,114
3,,2020-06-22,310398,申万菱信沪深300价值指数,分额,1.3782,67.27,92.71,6.75,0.0,6.75,0.12,,A 股,大盘股,300价值,114
4,,2020-03-30,530015,建信深证基本面60ETF联接A,买入,2.1325,1220.14,2601.99,0.0,0.0,0.0,3.9,,A 股,大盘股,基本面60,115
5,,2019-12-03,070023,嘉实深证基本面120联接,买入,1.7987,1363.37,2452.28,0.0,0.0,0.0,2.8,,A 股,大盘股,基本面120,116
6,,2020-02-18,003318,景顺长城中证500低波动,买入,0.9403,4586.65,4312.69,0.0,0.0,0.0,5.14,,A 股,中小盘股,500低波动,122
7,,2020-05-26,090010,大成中证红利指数,买入,1.641,3674.21,6029.53,0.0,0.0,0.0,7.24,,A 股,红利价值,中证红利,131
8,,2020-02-04,501029,华宝红利基金,清仓,0.0,0.0,0.0,0.0,-35.501,0.0,1.81,,A 股,红利价值,标普红利,132
9,,2020-06-23,000968,广发中证养老,卖出,0.9589,960.68,899.97,21.188,0.0,0.0,1.83,,A 股,行业股,养老产业,141
10,,2020-02-11,001550,天弘中证医药100A,清仓,0.0,0.0,0.0,0.0,112.463,0.0,0.6,,A 股,行业股,全指医药,142
11,,2020-05-26,001594,天弘中证银行指数A,买入,1.1564,2065.27,2388.24,0.0,0.0,0.0,2.4,,A 股,行业股,中证银行,146
12,,2020-06-23,161725,招商中证白酒指数,卖出,0.8312,243.49,184.98,17.42,0.0,0.0,0.37,,A 股,行业股,全指消费,148
13,,2020-05-22,501021,华宝香港中小,买入,1.3408,2613.79,3504.52,0.0,0.0,0.0,3.49,,海外新兴,香港,香港中小,213
14,,2020-05-26,006327,易方达中概互联50ETF联接人民币A,买入,1.1622,1100.91,1279.52,0.0,0.0,0.0,1.54,,海外新兴,海外互联,海外互联网,221
15,,2020-05-26,164906,交银中证海外中国互联网指数,买入,1.2767,861.22,1099.52,0.0,0.0,0.0,1.32,,海外新兴,海外互联,海外互联网,221
16,,2020-03-23,040046,华安纳斯达克100指数,买入,2.294,253.87,582.38,0.0,0.0,0.0,0.7,,海外成熟,美国,纳斯达克,312
17,,2020-04-14,161128,易方达标普信息科技,买入,1.7056,164.83,281.14,0.0,0.0,0.0,0.34,,海外成熟,美国,信息科技,315
18,,2019-05-14,002086,大成景安短融债券E,清仓,0.0,0.0,0.0,0.0,0.918,0.0,0.0,,债券,国内债券,纯债,511
19,,2020-05-26,008975,富国中证消费50ETF联接A,买入,1.1092,376.45,417.54,0.0,0.0,0.0,0.5,,A 股,行业股,全指消费, 
