,id,date,code,name,status,holding_nav,holding_volume,holding_money,holding_gain,history_gain,total_cash_dividend,total_fee,account,category1,category2,category3,categoryId
0,,2019-05-16,001051,华夏上证50ETF联接A,买入,0.8966,1338.46,1200.0,0.0,0.0,0.0,1.44,,A 股,大盘股,上证50,111
1,,2019-01-31,100038,富国量化沪深300,买入,1.4616,2463.04,3600.0,0.0,0.0,0.0,4.32,,A 股,大盘股,沪深300,113
2,,2019-05-15,000051,华夏沪深300ETF联接A,初始化,1.2285,325.61,400.0,0.0,0.0,0.0,0.48,,A 股,大盘股,沪深300,113
3,,2020-02-26,162711,广发中证500ETF联接A,卖出,1.0451,9368.45,9790.79,64.277,0.0,0.0,13.48,,A 股,中小盘股,中证500,121
4,,2019-01-31,161017,富国中证500,买入,1.4754,1838.18,2712.11,87.89,0.0,87.89,4.2,,A 股,中小盘股,中证500,121
5,,2020-02-04,000478,建信中证500指数增强A,买入,1.9358,413.27,800.0,0.0,0.0,0.0,1.2,,A 股,中小盘股,中证500,121
6,,2020-01-02,002903,广发中证500ETF联接C,清仓,0.0,0.0,0.0,0.0,32.136,0.0,0.0,,A 股,中小盘股,中证500,121
7,,2019-12-16,162413,华宝中证1000指数分级,分额,0.776,1546.42,1200.0,0.0,0.0,0.0,1.44,,A 股,中小盘股,中证1000,123
8,,2019-12-02,003765,广发创业板ETF联接A,清仓,0.0,0.0,0.0,0.0,61.659,0.0,1.87,,A 股,中小盘股,创业板,124
9,,2020-03-12,110026,易方达创业板ETF联接A,清仓,0.0,0.0,0.0,0.0,1564.586,0.0,8.37,,A 股,中小盘股,创业板,124
10,,2020-04-30,100032,富国中证红利指数增强,买入,1.014,9467.45,9600.0,0.0,0.0,0.0,14.4,,A 股,红利价值,中证红利,131
11,,2020-07-17,000968,广发养老指数A,卖出,0.785,5132.25,4028.71,364.926,0.0,0.0,9.76,,A 股,行业股,养老产业,141
12,,2020-07-17,001180,广发医药卫生联接A,卖出,0.5235,4546.01,2379.78,955.003,0.0,0.0,13.05,,A 股,行业股,全指医药,142
13,,2019-01-31,001064,广发中证环保ETF联接A,买入,0.5378,5949.77,3200.0,0.0,0.0,0.0,3.84,,A 股,行业股,中证环保,143
14,,2020-03-09,004752,广发中证传媒ETF联接A,卖出,0.7083,3988.79,2825.3,61.378,0.0,0.0,4.97,,A 股,行业股,中证传媒,144
15,,2020-07-08,502010,易方达证券公司分级,分额,0.793,504.4,400.0,0.0,0.0,0.0,0.4,,A 股,行业股,证券公司,145
16,,2020-04-30,001469,广发中证全指金融地产联接A,买入,0.9665,1655.49,1600.0,0.0,0.0,0.0,1.92,,A 股,行业股,金融地产,147
17,,2019-05-15,110022,易方达消费行业,清仓,0.0,0.0,0.0,0.0,221.273,0.0,3.72,,A 股,行业股,全指消费,148
18,,2020-03-19,000071,华夏恒生ETF联接A,买入,1.3488,889.71,1200.0,0.0,0.0,0.0,1.44,,海外新兴,香港,恒生,211
19,,2020-06-09,164906,交银中证海外中国互联网指数,卖出,0.995,1062.28,1057.01,151.839,0.0,0.0,3.01,,海外新兴,海外互联,海外互联网,221
20,,2020-05-18,050025,博时标普500ETF联接A,卖出,1.7778,175.27,311.59,59.022,0.0,0.0,3.41,,海外成熟,美国,标普500,313
21,,2020-03-13,000614,华安德国30(DAX)联接,买入,1.0253,2730.84,2800.0,0.0,0.0,0.0,3.36,,海外成熟,德国,德国30,321
22,,2019-07-18,001112,东方红中国优势混合,清仓,0.0,0.0,0.0,0.0,-65.781,0.0,88.34,,混合型,股债混合,偏股,411
23,,2020-07-14,270048,广发纯债债券A,分现,1.199,328.68,394.08,5.92,0.0,5.92,0.32,,债券,国内债券,纯债,511
24,,2019-12-02,110027,易方达安心回报债券A,买入,1.6101,1981.84,3191.0,9.0,0.0,9.0,2.56,,债券,国内债券,可转债,512
25,,2019-06-24,340001,兴全可转债混合,分额,0.9815,1630.08,1600.0,0.0,0.0,0.0,1.6,,债券,国内债券,可转债,512
26,,2020-03-19,519977,长信可转债债券A,清仓,0.0,0.0,0.0,0.0,75.974,0.0,2.71,,债券,国内债券,可转债,512
27,,2020-03-13,000216,华安黄金易ETF联接A,卖出,0.8811,366.9,323.27,77.23,0.0,0.0,0.96,,商品,商品,黄金,611
28,,2020-02-04,162411,华宝标普油气上游股票,买入,0.4404,4541.16,2000.0,0.0,0.0,0.0,3.0,,商品,商品,原油,613
29,,2020-03-09,501018,南方原油A,初始化,0.7171,557.83,400.0,0.0,0.0,0.0,0.48,,商品,商品,原油,613
