,date,code,name,status,holding_nav,holding_volume,holding_money,total_fee,holding_gain,history_gain
0,2020-03-02,100032,富国中证红利指数增强,分份额,0.9168,72337.81,66320.0,99.36,0.0,0.0
1,2018-12-27,000968,广发养老指数A,买入后,0.9167,63490.0,58200.0,69.76,0.0,0.0
2,2020-03-18,000614,华安德国30(DAX)联接,买入后,1.0042,41627.14,41800.0,50.1,0.0,0.0
3,2019-06-24,340001,兴全可转债混合,分份额,0.9886,32370.29,32000.0,31.95,0.0,0.0
4,2019-07-31,110027,易方达安心回报债券A,买入后,1.5931,20086.63,32000.0,25.6,0.0,0.0
5,2018-10-15,001180,广发医药卫生联接A,买入后,0.7451,41014.88,30560.0,36.62,0.0,0.0
6,2020-02-26,001469,广发中证全指金融地产联接A,买入后,0.947,27031.68,25600.0,30.68,0.0,0.0
7,2020-03-19,000071,华夏恒生ETF联接A,买入后,1.3653,16626.05,22700.0,27.2,0.0,0.0
8,2019-03-28,162411,华宝标普油气上游股票,买入后,0.5152,37267.5,19200.0,28.77,0.0,0.0
9,2019-09-18,100038,富国沪深300指数增强,分份额,1.3129,14624.61,19200.0,23.01,0.0,0.0
10,2019-05-30,164906,交银中证海外中国互联网指数,买入后,1.1443,16778.48,19200.0,23.01,0.0,0.0
11,2019-09-20,161017,富国中证500,分份额,1.3432,9529.81,12800.0,19.18,0.0,0.0
12,2020-03-19,050025,博时标普500ETF联接A,初始化,1.9457,3289.25,6400.0,7.67,0.0,0.0
13,2018-10-15,001064,广发中证环保ETF联接A,初始化,0.4775,13403.9,6400.0,7.67,0.0,0.0
14,2019-12-02,000478,建信中证500指数增强A,初始化,1.9396,3299.64,6400.0,9.59,0.0,0.0
15,2020-03-09,501018,南方原油A,初始化,0.7171,8925.34,6400.0,7.67,0.0,0.0
16,2020-02-18,002903,广发中证500ETF联接C,清仓后,0.0,0.0,0.0,0.0,0.0,495.5
17,2020-01-06,003647,创金合信中证1000指数增强C,清仓后,0.0,0.0,0.0,0.0,0.0,231.28
18,2020-03-09,004752,广发中证传媒ETF联接A,清仓后,0.0,0.0,0.0,41.62,0.0,355.56
19,2016-05-27,161725,招商中证白酒指数分级,清仓后,0.0,0.0,0.0,2.89,0.0,-22.03
20,2020-03-19,519977,长信可转债债券A,清仓后,0.0,0.0,0.0,43.39,0.0,1215.55
21,2016-05-24,000179,广发美国房地产指数,清仓后,0.0,0.0,0.0,3.12,0.0,-6.67
22,2019-05-15,110022,易方达消费行业,清仓后,0.0,0.0,0.0,59.54,0.0,3540.32
23,2018-11-30,003376,广发中债7-10年国开债指数A,清仓后,0.0,0.0,0.0,16.33,0.0,939.89
24,2019-12-02,110026,易方达创业板ETF联接A,清仓后,0.0,0.0,0.0,28.39,0.0,1866.03
25,2020-03-11,001061,华夏海外收益债券A,卖出后,20913.5,0.06,-2254.19,20.46,3509.0,0.0
