,date,code,name,status,holding_nav,holding_volume,holding_money,total_fee,holding_gain,history_gain,category1,category2,category3,categoryId
0,2019-04-09,501050,华夏上证50AH优选指数,买入,1.2636,247.91,313.26,0.47,0.0,0.0,A 股,大盘股,50AH,112
1,2020-03-30,519671,银河沪深300价值指数,买入,1.4231,3899.26,5548.9,6.64,0.0,0.0,A 股,大盘股,300价值,114
2,2019-12-06,310398,申万菱信沪深300价值指数,分额,1.4374,64.5,92.71,0.12,6.75,0.0,A 股,大盘股,300价值,114
3,2020-03-30,530015,建信深证基本面60ETF联接A,买入,2.1325,1220.14,2601.99,3.9,0.0,0.0,A 股,大盘股,基本面60,115
4,2019-12-03,070023,嘉实深证基本面120联接,买入,1.7987,1363.37,2452.28,2.8,0.0,0.0,A 股,大盘股,基本面120,116
5,2020-02-18,003318,景顺长城中证500低波动,买入,0.9403,4586.65,4312.69,5.14,0.0,0.0,A 股,中小盘股,500低波动,122
6,2020-03-16,090010,大成中证红利指数,买入,1.6502,3303.75,5451.89,6.54,0.0,0.0,A 股,红利价值,中证红利,131
7,2020-02-04,501029,华宝红利基金,清仓,0.0,0.0,0.0,1.81,0.0,0.0,A 股,红利价值,标普红利,132
8,2019-12-10,000968,广发中证养老,买入,0.9589,1067.42,1023.51,1.21,0.0,0.0,A 股,行业股,养老产业,141
9,2020-02-11,001550,天弘中证医药100A,清仓,0.0,0.0,0.0,0.6,0.0,0.0,A 股,行业股,全指医药,142
10,2020-03-30,001594,天弘中证银行指数A,买入,1.1814,1443.38,1705.17,1.72,0.0,0.0,A 股,行业股,中证银行,146
11,2020-03-30,161725,招商中证白酒指数,买入,0.8312,300.61,249.87,0.24,0.0,0.0,A 股,行业股,全指消费,148
12,2020-03-23,501021,华宝香港中小,买入,1.3401,2489.89,3336.63,3.33,0.0,0.0,海外新兴,香港,香港中小,213
13,2020-03-30,006327,易方达中概互联50ETF联接人民币A,买入,1.1619,929.23,1079.7,1.3,0.0,0.0,海外新兴,海外互联,海外互联网,221
14,2020-03-30,164906,交银中证海外中国互联网指数,买入,1.1985,500.24,599.56,0.71,0.0,0.0,海外新兴,海外互联,海外互联网,221
15,2020-03-23,040046,华安纳斯达克100指数,买入,2.294,253.87,582.38,0.7,0.0,0.0,海外成熟,美国,纳斯达克,312
16,2020-03-30,161128,易方达标普信息科技,买入,1.6977,136.17,231.17,0.28,0.0,0.0,海外成熟,美国,信息科技,315
17,2019-05-14,002086,大成景安短融债券E,清仓,0.0,0.0,0.0,0.0,0.0,0.0,债券,国内债券,纯债,511
