	name	code
0	深中华A	000017
1	华夏沪深300ETF联接A	000051
2	华夏恒生ETF联接A	000071
3	广发美国房地产指数	000179
4	华安黄金易ETF联接A	000216
5	华天酒店	000428
6	建信中证500指数增强A	000478
7	华安德国30(DAX)联接	000614
8	鑫茂科技	000836
9	广发养老指数A	000968
10	华夏上证50ETF联接A	001051
11	华夏中证500ETF联接A	001052
12	华夏海外收益债券A	001061
13	广发中证环保ETF联接A	001064
14	东方红中国优势混合	001112
15	广发医药卫生联接A	001180
16	安信稳健增值混合C	001338
17	广发中证全指金融地产联接A	001469
18	天弘中证医药100A	001550
19	天弘中证银行指数A	001594
20	大成景安短融债券E	002086
21	长安鑫益增强混合C	002147
22	广发中证500ETF联接C	002903
23	景顺长城中证500低波动	003318
24	广发中债7-10年国开债指数A	003376
25	创金合信中证1000指数增强C	003647
26	广发创业板ETF联接A	003765
27	广发中证传媒ETF联接A	004752
28	鹏扬泓利债券C	006060
29	易方达安瑞短债C	006320
30	易方达中概互联50ETF联接人民币A	006327
31	交银稳鑫短债债券A	006793
32	民生加银鹏程混合C	007749
33	华安纳斯达克100指数	040046
34	博时标普500ETF联接A	050025
35	嘉实深证基本面120联接	070023
36	大成中证红利指数	090010
37	富国中证红利指数增强	100032
38	富国沪深300指数增强	100038
39	易方达消费行业	110022
40	易方达创业板ETF联接A	110026
41	易方达安心回报债券A	110027
42	中 小 板	159902
43	创业板	159915
44	恒生ETF	159920
45	广发医药	159938
46	华安标普石油指数	160416
47	富国中证500	161017
48	易方达标普信息科技	161128
49	招商中证白酒指数分级	161725
50	华宝标普油气上游股票	162411
51	华宝中证1000指数分级	162413
52	广发中证500ETF联接A	162711
53	交银信用添利债券(LOF)	164902
54	交银中证海外中国互联网指数	164906
55	申万菱信沪深300价值指数	310398
56	兴全可转债混合	340001
57	工银双利债券B	485011
58	南方原油A	501018
59	华宝香港中小	501021
60	华宝红利基金	501029
61	华夏上证50AH优选指数	501050
62	易方达证券公司分级	502010
63	50ETF	510050
64	300ETF	510300
65	500ETF	510500
66	H股ETF	510900
67	国债ETF	511010
68	1000ETF	512100
69	环保ETF	512580
70	证券ETF	512880
71	传媒ETF	512980
72	日经ETF	513520
73	100红利	515180
74	黄金ETF	518880
75	新华纯债C	519153
76	银河沪深300价值指数	519671
77	交银主题优选	519700
78	交银纯债A/B	519718
79	交银双轮动A/B	519723
80	交银周期回报灵活配置混合A	519738
81	交银新回报灵活配置混合A	519752
82	交银多策略回报灵活配置混合A	519755
83	交银裕盈纯债债券A	519776
84	长信可转债债券A	519977
85	建信深证基本面60ETF联接A	530015
86	宁波中百	600857
87	北京城乡	600861
88	航天电子	600879
89	建设银行	601939
