	name	code
0	华夏恒生ETF联接A	000071
1	广发美国房地产指数	000179
2	建信中证500指数增强A	000478
3	招商招钱宝货币A	000588
4	汇添富和聚宝货币	000600
5	华安德国30(DAX)联接	000614
6	富国富钱包货币	000638
7	华安汇财通货币	000709
8	博时现金宝货币Ｂ	000891
9	广发养老指数A	000968
10	华夏海外收益债券A	001061
11	广发中证环保ETF联接A	001064
12	广发医药卫生联接A	001180
13	广发中证全指金融地产联接A	001469
14	鹏华添利宝货币	001666
15	广发天天红货币Ｂ	002183
16	广发中证500ETF联接C	002903
17	华夏现金增利货币A/E	003003
18	建信现金添益货币A	003022
19	广发中债7-10年国开债指数A	003376
20	南方天天利货币Ｂ	003474
21	创金合信中证1000指数增强C	003647
22	广发中证传媒ETF联接A	004752
23	新华活期添利货币E	005148
24	博时标普500ETF联接A	050025
25	富国中证红利指数增强	100032
26	富国沪深300指数增强	100038
27	易方达消费行业	110022
28	易方达创业板ETF联接A	110026
29	易方达安心回报债券A	110027
30	富国中证500	161017
31	招商中证白酒指数分级	161725
32	华宝标普油气上游股票	162411
33	交银中证海外中国互联网指数	164906
34	兴全可转债混合	340001
35	兴全货币A	340005
36	南方原油A	501018
37	长信可转债债券A	519977
