	name	code
0	华夏恒生ETF联接A	000071
1	广发美国房地产指数	000179
2	建信中证500指数增强A	000478
3	华安德国30(DAX)联接	000614
4	广发养老指数A	000968
5	华夏海外收益债券A	001061
6	广发中证环保ETF联接A	001064
7	广发医药卫生联接A	001180
8	广发中证全指金融地产联接A	001469
9	广发中证500ETF联接C	002903
10	广发中债7-10年国开债指数A	003376
11	创金合信中证1000指数增强C	003647
12	广发中证传媒ETF联接A	004752
13	博时标普500ETF联接A	050025
14	富国中证红利指数增强	100032
15	富国沪深300指数增强	100038
16	易方达消费行业	110022
17	易方达创业板ETF联接A	110026
18	易方达安心回报债券A	110027
19	富国中证500	161017
20	招商中证白酒指数分级	161725
21	华宝标普油气上游股票	162411
22	交银中证海外中国互联网指数	164906
23	兴全可转债混合	340001
24	南方原油A	501018
25	长信可转债债券A	519977
