	name	code
0	华夏沪深300ETF联接A	000051
1	华夏恒生ETF联接A	000071
2	华安黄金易ETF联接A	000216
3	建信中证500指数增强A	000478
4	广发钱袋子货币A	000509
5	汇添富和聚宝货币	000600
6	华安德国30(DAX)联接	000614
7	富国富钱包货币	000638
8	博时现金宝货币Ｂ	000891
9	广发养老指数A	000968
10	华夏上证50ETF联接A	001051
11	广发中证环保ETF联接A	001064
12	东方红中国优势混合	001112
13	广发医药卫生联接A	001180
14	广发中证全指金融地产联接A	001469
15	广发中证500ETF联接C	002903
16	南方天天利货币Ｂ	003474
17	广发创业板ETF联接A	003765
18	广发中证传媒ETF联接A	004752
19	博时标普500ETF联接A	050025
20	富国中证红利指数增强	100032
21	富国量化沪深300	100038
22	易方达消费行业	110022
23	易方达创业板ETF联接A	110026
24	易方达安心回报债券A	110027
25	富国中证500	161017
26	华宝标普油气上游股票	162411
27	华宝中证1000指数分级	162413
28	广发中证500ETF联接A	162711
29	交银中证海外中国互联网指数	164906
30	兴全可转债混合	340001
31	光大货币	360003
32	工银货币	482002
33	南方原油A	501018
34	易方达证券公司分级	502010
35	长信可转债债券A	519977
